name	school	type	tier	mana_cost	damage	cast_time	status	description
Fireball	Evocation	Fire	3	45	180	1.5	Active	Launches a blazing sphere that explodes upon impact
Pyroblast	Evocation	Fire	5	90	320	3.5	Standard	Casts a massive flaming boulder dealing heavy damage
Flame Strike	Evocation	Fire	4	60	210	2.0	Active	Calls down a vertical column of fire
Combustion	Evocation	Fire	4	70	150	Instant	Experimental	Ignites the target causing periodic fire burst
Scorching Ray	Evocation	Fire	2	30	110	1.0	Standard	Fires three simultaneous rays of concentrated fire
Meteor Swarm	Evocation	Fire	9	150	500	4.0	Ancient	Rains cataclysmic burning meteors across the battlefield
Incinerate	Evocation	Fire	1	15	65	1.2	Standard	Blasts a target with low-temperature flame
Frostbolt	Evocation	Frost	1	20	75	1.8	Standard	Fires a bolt of frost chilling the enemy
Blizzard	Evocation	Frost	4	65	190	Channel	Active	Summons a persistent freezing hail storm
Ice Nova	Evocation	Frost	2	35	90	Instant	Active	Unleashes a radial ring of ice freezing nearby foes
Cone of Cold	Evocation	Frost	5	80	260	1.5	Standard	Blasts extreme cold in a forward cone
Glacial Spike	Evocation	Frost	6	95	340	3.0	Ancient	Conjures a massive icicle that impales target
Frozen Orb	Evocation	Frost	4	55	175	Instant	Experimental	Launches a spinning orb that shoots frost shards
Chain Lightning	Evocation	Lightning	4	60	230	1.8	Active	Discharges lightning that jumps across multiple targets
Lightning Bolt	Evocation	Lightning	3	40	160	1.5	Standard	Hurls a linear strike of high-voltage lightning
Thunderstorm	Evocation	Lightning	5	85	290	2.5	Active	Envelops the arena in an electrical maelstrom
Shocking Grasp	Evocation	Lightning	1	10	45	Instant	Standard	Delivers lightning shock on physical touch
Static Field	Evocation	Lightning	3	45	120	Instant	Active	Electrifies surrounding air shocking encroaching units
Arcane Missiles	Evocation	Arcane	1	15	60	Channel	Standard	Fires five swift bolts of concentrated arcane energy
Arcane Blast	Evocation	Arcane	3	50	190	1.5	Active	Blasts the target with raw unrefined arcane power
Arcane Barrage	Evocation	Arcane	2	30	115	Instant	Active	Launches multiple magical shards at high velocity
Disintegration Ray	Evocation	Arcane	7	120	420	2.5	Forbidden	Emits a continuous beam that vaporizes matter
Prismatic Spray	Evocation	Chaos	7	110	380	Instant	Experimental	Emits seven multicolored beams of random elemental power
Chaos Bolt	Evocation	Chaos	2	35	130	1.6	Active	Hurls an erratic sphere of shifting magical energy
